ts,Entity Name,data_soil_moisture1,data_soil_moisture2,data_soil_moisture3,data_soil_moisture4
2024-07-02 18:47:35.437,111,18.5,25.4,38.4,41.7
2024-07-02 21:17:35.227,111,18.3,25.5,38.4,41.7
2024-07-02 23:47:35.050,111,18.1,25.5,38.4,41.7
2024-07-03 00:47:34.967,111,18.0,25.4,38.5,41.8
2024-07-03 01:17:34.965,111,18.0,25.4,38.5,41.8
2024-07-03 01:47:34.770,111,,,,
2024-07-03 02:17:34.731,111,,,,
2024-07-03 02:47:34.848,111,17.8,25.4,38.5,41.8
2024-07-03 03:17:34.784,111,17.8,25.4,38.5,41.8
2024-07-03 04:17:34.709,111,17.7,25.3,38.5,41.8
2024-07-03 04:47:34.687,111,17.7,25.3,38.5,41.8
2024-07-03 06:47:34.481,111,17.5,25.2,38.5,41.8
2024-07-03 07:17:34.511,111,17.5,25.2,38.5,41.8
2024-07-03 07:47:34.469,111,17.5,25.2,38.5,41.8
2024-07-03 08:17:34.286,111,,,,
2024-07-03 08:47:34.426,111,17.4,25.1,38.5,41.8
2024-07-03 09:17:34.389,111,17.3,25.1,38.5,41.8
2024-07-03 09:47:34.186,111,,,,
2024-07-03 10:17:34.273,111,17.2,25.1,38.4,41.8
2024-07-03 10:47:34.066,111,17.2,25.1,38.4,41.8
2024-07-03 11:17:34.237,111,17.2,25.1,38.3,41.8
2024-07-03 11:47:34.198,111,17.1,25.1,38.3,41.8
2024-07-03 12:17:34.121,111,17.1,25.1,38.2,41.8
2024-07-03 12:47:34.106,111,17.0,25.0,38.2,41.8
2024-07-03 13:17:34.061,111,17.0,25.0,38.1,41.8
2024-07-03 13:47:33.841,111,17.0,25.0,38.1,41.7
2024-07-03 14:17:34.004,111,17.0,25.0,38.0,41.7
2024-07-03 14:47:33.975,111,17.0,25.0,38.0,41.7
2024-07-03 15:17:33.929,111,16.9,25.0,37.9,41.7
2024-07-03 15:47:33.894,111,16.9,25.0,37.8,41.7
2024-07-03 16:17:33.830,111,16.9,25.0,37.8,41.7
2024-07-03 17:47:33.715,111,16.8,25.0,37.6,41.7
2024-07-03 18:17:33.718,111,16.8,25.0,37.5,41.7
2024-07-03 20:17:33.390,111,16.7,25.0,37.5,41.6
2024-07-03 20:47:33.306,111,16.8,25.0,37.5,41.6
2024-07-03 21:47:33.445,111,16.7,25.0,37.5,41.6
2024-07-03 22:17:33.248,111,16.7,25.0,37.5,41.7
2024-07-03 22:47:33.381,111,16.7,25.0,37.5,41.7
2024-07-03 23:17:33.385,111,16.7,25.0,37.5,41.7
2024-07-04 00:17:33.242,111,16.6,25.0,37.5,41.7
2024-07-04 00:47:33.233,111,16.6,25.0,37.5,41.7
2024-07-04 01:17:33.208,111,16.6,25.0,37.5,41.7
2024-07-04 02:17:33.117,111,16.6,25.0,37.5,41.7
2024-07-04 03:17:32.867,111,,,,
2024-07-04 03:47:33.020,111,16.5,25.0,37.5,41.7
2024-07-04 04:17:32.987,111,16.5,24.9,37.5,41.7
2024-07-04 05:17:32.896,111,16.4,24.9,37.5,41.7
2024-07-04 05:47:32.857,111,16.4,24.9,37.5,41.7
